Asin,Index,Name,Price,Pricefraction
B0BPSQKZB8,3,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfYXRmOjIwMDE2NTgxMjM3MDI5ODo6MDo6&url=%2FELYPHINE-Removable-Motivational-Material-Leakproof%2Fdp%2FB0BPSQKZB8%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,9,99
B0CN6GHGD6,4,/Charger-Charging%E3%80%90MFi-Certified%E3%80%91-Lightning-Compatible/dp/B0CN6GHGD6/ref=sr_1_2?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-2,15,99
B09YH4DZTT,5,/Derlaier-Precision-Stainless-Derlaier-111-Tweezers-1/dp/B09YH4DZTT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-3,3,99
B01DXRPKTW,6,/McLovin-Drivers-License-Superbad-Reproduction/dp/B01DXRPKTW/ref=sr_1_4?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-4,6,29
B00YFQ1JH8,10,/wet-wild-Finish-Stick-Garnet/dp/B00YFQ1JH8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-5,0,98
B00L1GHHV2,11,/Dude-Products-Wipes-Flushable-Dispenser/dp/B00L1GHHV2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-6,4,19
B0BTTC9FLT,12,/Sensodyne-Whitening-Sensitive-Prevention-Toothpaste/dp/B0BTTC9FLT/ref=sr_1_7?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-7,18,72
B087GMJXMC,13,/Energizer-Batteries-Combo-Pack-Count/dp/B087GMJXMC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-8,28,84
B0BCF7F5J8,14,/HOT-SORRY-Relaxing-Moisturizing-Soothing/dp/B0BCF7F5J8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-9,5,99
B0BZV235GQ,15,/Certified-Charger-Compatible-Chargers-Lightning/dp/B0BZV235GQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-10,5,99
B00HJZT0YQ,17,/Burts-Bees-Natural-Moisturizing-Superfruit/dp/B00HJZT0YQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-11,9,44
B00UZ8X9H8,18,/Color-Eyeliner-Pencil-Babys-Black/dp/B00UZ8X9H8/ref=sr_1_12?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-12,0,99
B07WP4165D,19,/Multipurpose-Standard-leveler-cabinets-AikTryee/dp/B07WP4165D/ref=sr_1_13?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-13,9,95
B0725WFLMB,20,/Bedsure-Satin-Pillowcase-Hair-2-Pack/dp/B0725WFLMB/ref=sr_1_14?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-14,6,98
B013OKRGWW,21,/Dental-Remover-Resistant-Cleaning-PFAS-Free/dp/B013OKRGWW/ref=sr_1_15?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-15,1,29
B07QSY7XK6,22,/Tweezers-Set-Professional-Eyebrows/dp/B07QSY7XK6/ref=sr_1_16?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-16,7,99
B0CJ8R1Y24,23,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDE2Mzg1NzAwNjAwMjo6MDo6&url=%2Ftoocki-Charger-Charging-iPhone15-MacBook%2Fdp%2FB0CJ8R1Y24%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,11,99
B0C331XBTN,24,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDMxMjEzODUzNTIwMjo6MDo6&url=%2FGydom-Smart-Watch-Men-Built%2Fdp%2FB0C331XBTN%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,59,99
B0D2NSQ4GC,25,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDIwNTc5ODc2NTcwMjo6MDo6&url=%2FPhone-Charger-Charging-Block-Compatible%2Fdp%2FB0D2NSQ4GC%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,26,99
